Year,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor & oil
[Note 2]","Current price indices: All Items CPI 2025=100
",Real price indices: Solid fuels [Note 3],Real price indices: Gas [Note 3],Real price indices: Electricity [Note 3],Real price indices: Liquid fuels [Note 3],"Real price indices: Domestic fuels
[Note 1 ,3]","Real price indices: Motor fuel & oil
[Note 2 ,3]",Real price indices: All Items CPI 2025=100 [Note 3],GDP Deflator 2025=100 [Note 3]
1990,21.4,19.3,21.0,28.8,19.7,29.8,40.4,51.8,46.9,50.8,69.7,47.8,72.3,97.9,41.25
1991,22.8,20.7,23.1,27.1,21.3,32.0,43.4,51.7,46.9,52.4,61.7,48.3,72.7,98.7,44.02
1992,23.7,20.6,24.3,23.5,21.8,33.0,45.2,52.1,45.3,53.4,51.8,47.9,72.6,99.5,45.45
1993,23.8,19.9,24.2,25.1,21.5,35.6,46.4,50.7,42.4,51.7,53.5,45.9,76.0,99.1,46.82
1994,25.3,21.1,25.0,24.7,22.4,37.2,47.3,53.0,44.2,52.4,51.9,47.0,78.0,99.3,47.68
1995,25.7,21.7,25.4,24.5,22.9,39.1,48.6,52.4,44.4,51.8,50.0,46.7,79.9,99.2,48.93
1996,26.1,21.8,25.3,28.6,23.0,41.0,49.7,51.1,42.8,49.6,56.0,45.1,80.5,97.6,50.95
1997,26.3,21.6,24.0,26.2,22.3,45.1,50.7,51.6,42.4,47.1,51.4,43.7,88.4,99.4,50.97
1998,26.6,20.9,22.9,20.3,21.4,47.3,51.4,51.5,40.4,44.4,39.3,41.4,91.5,99.6,51.65
1999,27.1,20.9,22.7,23.0,21.4,51.3,52.1,51.8,39.8,43.3,43.9,40.8,98.0,99.5,52.37
2000,27.6,20.4,22.2,35.2,21.4,58.1,52.5,52.1,38.6,42.0,66.5,40.4,109.8,99.3,52.88
2001,28.8,21.0,22.0,33.0,21.5,55.1,53.2,53.6,39.0,40.9,61.4,40.0,102.4,98.9,53.79
2002,30.3,22.3,22.1,29.8,22.0,53.4,53.8,55.2,40.7,40.2,54.3,40.0,97.2,98.0,54.91
2003,30.9,22.8,22.3,33.0,22.4,55.2,54.6,55.0,40.5,39.7,58.8,39.8,98.3,97.0,56.22
2004,32.6,24.4,23.7,39.0,23.9,58.3,55.3,56.4,42.2,41.0,67.5,41.4,101.0,95.7,57.75
2005,35.9,27.8,26.1,53.0,27.0,63.4,56.4,60.4,46.9,44.0,89.2,45.5,106.8,95.0,59.41
2006,38.6,36.5,31.8,60.3,33.7,66.9,57.7,63.1,59.7,52.0,98.4,55.1,109.3,94.3,61.24
2007,41.4,39.4,34.4,60.0,36.1,68.9,59.1,66.3,63.1,55.1,96.0,57.9,110.3,94.6,62.46
2008,49.2,47.0,39.7,89.6,42.8,79.1,61.2,76.2,72.9,61.6,138.8,66.4,122.6,94.8,64.54
2009,58.0,53.4,41.5,63.1,45.9,72.9,62.6,88.1,81.1,63.1,95.8,69.7,110.8,95.1,65.82
2010,58.0,50.4,40.5,82.0,44.5,85.1,64.6,86.9,75.5,60.7,122.9,66.8,127.7,96.9,66.69
2011,60.8,55.9,43.5,103.8,49.0,97.6,67.5,88.9,81.8,63.6,151.9,71.7,142.9,98.7,68.34
2012,62.9,61.7,45.9,106.9,52.9,99.5,69.4,90.6,88.9,66.1,154.0,76.2,143.4,100.1,69.40
2013,63.9,66.4,49.3,107.2,56.7,98.5,71.2,90.1,93.7,69.6,151.3,79.9,138.9,100.4,70.90
2014,65.7,69.6,52.0,95.1,59.1,93.6,72.3,91.2,96.6,72.2,132.0,82.1,129.9,100.3,72.03
2015,65.8,66.4,51.9,67.0,57.2,81.2,72.3,90.7,91.6,71.5,92.4,78.8,112.0,99.6,72.51
2016,65.7,62.5,51.8,59.8,55.5,79.3,72.8,89.0,84.8,70.2,81.0,75.2,107.5,98.6,73.77
2017,67.2,61.8,55.2,74.1,57.6,85.8,74.7,89.7,82.5,73.7,99.0,76.9,114.5,99.7,74.91
2018,68.3,64.2,60.0,92.8,61.5,91.8,76.5,89.4,84.0,78.6,121.5,80.5,120.2,100.2,76.38
2019,70.8,63.9,64.4,90.4,63.8,92.1,77.9,90.5,81.6,82.3,115.5,81.5,117.7,99.5,78.26
2020,73.8,57.5,64.5,63.2,60.9,84.2,78.5,89.8,69.9,78.4,76.9,74.1,102.4,95.5,82.22
2021,76.2,57.6,68.7,83.3,63.8,95.9,80.6,92.2,69.7,83.2,100.8,77.2,116.1,97.6,82.63
2022,93.3,109.4,102.4,155.3,105.0,122.6,87.9,106.8,125.3,117.3,177.8,120.2,140.4,100.7,87.32
2023,104.3,129.6,116.5,124.0,121.2,109.7,94.3,112.3,139.5,125.4,133.5,130.5,118.1,101.5,92.87
2024,101.4,97.1,98.8,110.6,98.5,104.4,96.7,105.1,100.7,102.4,114.6,102.0,108.2,100.2,96.51
2025,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00
